Model,Best Params,CV Accuracy (mean),CV Accuracy (std),Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC
SVM (RBF),"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8463435374149659,0.05709614526610556,0.8360655737704918,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.9090909090909091
Naive Bayes,{'clf__var_smoothing': 1e-11},0.8087585034013605,0.10931664027151468,0.819672131147541,0.84375,0.8181818181818182,0.8307692307692308,0.8982683982683983
KNN,"{'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'distance'}",0.813095238095238,0.04428027360332686,0.8360655737704918,0.8709677419354839,0.8181818181818182,0.84375,0.8961038961038962
Logistic Regression,"{'clf__C': 1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.8420918367346939,0.06829962463004821,0.8524590163934426,0.875,0.8484848484848485,0.8615384615384616,0.8939393939393939
Random Forest,"{'clf__max_depth': 7, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8213435374149659,0.06578105103292686,0.7868852459016393,0.8125,0.7878787878787878,0.8,0.8798701298701299
Decision Tree,"{'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 2}",0.7761054421768707,0.0490260727580655,0.7540983606557377,0.78125,0.7575757575757576,0.7692307692307693,0.8273809523809523
