Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8524590163934426,0.875,0.8484848484848485,0.8615384615384616,0.8982683982683983
Naive Bayes,0.819672131147541,0.84375,0.8181818181818182,0.8307692307692308,0.8982683982683983
SVM (RBF),0.8032786885245902,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8733766233766235
KNN,0.8032786885245902,0.8620689655172413,0.7575757575757576,0.8064516129032258,0.8863636363636364
Random Forest,0.7868852459016393,0.8125,0.7878787878787878,0.8,0.8939393939393939
Decision Tree,0.7540983606557377,0.75,0.8181818181818182,0.782608695652174,0.7483766233766235
